model,English,Swahili,French,Japanese,Latvian
_scratch_current_joshbarua_experiments_Qwen2.5-7B-base-english-s1k-full-sft,79.0,,,,
_scratch_current_joshbarua_experiments_Qwen2.5-7B-base-english-bespoke-stratos-full-sft,80.60000000000001,,,,
_scratch_current_joshbarua_experiments_Qwen3-8B-base-english-s1k-full-sft,92.60000000000001,,,,
_scratch_current_joshbarua_experiments_Qwen2.5-7B-base-swahili-s1k-full-sft,,52.400000000000006,,,
_scratch_current_joshbarua_experiments_Qwen2.5-7B-base-swahili-bespoke-stratos-full-sft,,63.0,,,
_scratch_current_joshbarua_experiments_Qwen3-8B-base-swahili-s1k-full-sft,,73.2,,,
_scratch_current_joshbarua_experiments_Qwen2.5-7B-base-french-s1k-full-sft,,,76.0,,
_scratch_current_joshbarua_experiments_Qwen3-8B-base-french-s1k-full-sft,,,88.8,,
_scratch_current_joshbarua_experiments_Qwen2.5-7B-base-japanese-s1k-full-sft,,,,59.8,
_scratch_current_joshbarua_experiments_Qwen3-8B-base-japanese-s1k-full-sft,,,,74.2,
_scratch_current_joshbarua_experiments_Qwen2.5-7B-base-latvian-s1k-full-sft,,,,,59.599999999999994
_scratch_current_joshbarua_experiments_Qwen3-8B-base-latvian-s1k-full-sft,,,,,83.6
