model,English,Swahili,French,Japanese,Latvian
_scratch_current_joshbarua_experiments_Qwen2.5-7B-base-english-s1k-full-sft,30.357142857142854,,,,
_scratch_current_joshbarua_experiments_Qwen2.5-7B-base-english-bespoke-stratos-full-sft,29.24107142857143,,,,
_scratch_current_joshbarua_experiments_Qwen3-8B-base-english-s1k-full-sft,53.34821428571429,,,,
_scratch_current_joshbarua_experiments_Qwen2.5-7B-base-swahili-s1k-full-sft,,12.053571428571429,,,
_scratch_current_joshbarua_experiments_Qwen2.5-7B-base-swahili-bespoke-stratos-full-sft,,10.044642857142858,,,
_scratch_current_joshbarua_experiments_Qwen3-8B-base-swahili-s1k-full-sft,,26.5625,,,
_scratch_current_joshbarua_experiments_Qwen2.5-7B-base-french-s1k-full-sft,,,20.089285714285715,,
_scratch_current_joshbarua_experiments_Qwen3-8B-base-french-s1k-full-sft,,,42.410714285714285,,
_scratch_current_joshbarua_experiments_Qwen2.5-7B-base-japanese-s1k-full-sft,,,,9.598214285714286,
_scratch_current_joshbarua_experiments_Qwen3-8B-base-japanese-s1k-full-sft,,,,26.5625,
_scratch_current_joshbarua_experiments_Qwen2.5-7B-base-latvian-s1k-full-sft,,,,,
_scratch_current_joshbarua_experiments_Qwen3-8B-base-latvian-s1k-full-sft,,,,,
