model,Swahili
Qwen_Qwen2.5-7B,10.1010101010101
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-base-english-behaviors-full-cpt_checkpoint-200,8.080808080808081
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-base-english-behaviors-full-cpt_checkpoint-400,13.131313131313133
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-base-english-behaviors-full-cpt_checkpoint-600,14.14141414141414
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-base-english-behaviors-full-cpt_checkpoint-800,12.121212121212121
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-base-english-behaviors-full-cpt_checkpoint-1000,17.17171717171717
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-base-english-behaviors-full-cpt_checkpoint-1200,7.07070707070707
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-base-english-behaviors-full-cpt_checkpoint-1400,9.090909090909092
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-base-english-behaviors-full-cpt_checkpoint-1600,11.11111111111111
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-base-english-behaviors-full-cpt_checkpoint-1800,9.090909090909092
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-base-english-behaviors-full-cpt_checkpoint-2000,18.181818181818183
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-base-english-behaviors-full-cpt_checkpoint-2100,8.080808080808081
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-base-swahili-behaviors-full-cpt_checkpoint-200,25.252525252525253
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-base-swahili-behaviors-full-cpt_checkpoint-400,38.38383838383838
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-base-swahili-behaviors-full-cpt_checkpoint-600,23.232323232323232
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-base-swahili-behaviors-full-cpt_checkpoint-800,32.323232323232325
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-base-swahili-behaviors-full-cpt_checkpoint-1000,33.33333333333333
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-base-swahili-behaviors-full-cpt_checkpoint-1200,34.34343434343434
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-base-swahili-behaviors-full-cpt_checkpoint-1400,25.252525252525253
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-base-swahili-behaviors-full-cpt_checkpoint-1600,34.34343434343434
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-base-swahili-behaviors-full-cpt_checkpoint-1800,32.323232323232325
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-base-swahili-behaviors-full-cpt_checkpoint-2000,39.39393939393939
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-base-swahili-behaviors-full-cpt_checkpoint-2100,34.34343434343434
