model,Swahili
Qwen_Qwen2.5-7B-Instruct,29.292929292929294
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-instruct-swahili-s1k-full-sft_checkpoint-30,17.17171717171717
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-instruct-swahili-s1k-full-sft_checkpoint-60,22.22222222222222
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-instruct-swahili-s1k-full-sft_checkpoint-90,28.28282828282828
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-instruct-swahili-s1k-full-sft_checkpoint-120,24.242424242424242
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-instruct-swahili-s1k-full-sft_checkpoint-150,31.313131313131315
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-instruct-swahili-s1k-full-sft_checkpoint-180,27.27272727272727
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-instruct-swahili-s1k-full-sft_checkpoint-210,35.35353535353536
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-instruct-swahili-s1k-full-sft_checkpoint-240,39.39393939393939
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-instruct-swahili-s1k-full-sft_checkpoint-270,49.494949494949495
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-instruct-swahili-s1k-full-sft_checkpoint-300,43.43434343434344
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-instruct-swahili-s1k-full-sft_checkpoint-330,45.45454545454545
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-instruct-swahili-s1k-full-sft_checkpoint-360,42.42424242424242
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-instruct-swahili-s1k-full-sft_checkpoint-372,41.41414141414141
