model,English,Swahili,French,Japanese,Latvian
_scratch_current_joshbarua_experiments_Qwen2.5-7B-base-english-s1k-full-sft,13.88888888888889,,,,
_scratch_current_joshbarua_experiments_Qwen2.5-7B-base-english-bespoke-stratos-full-sft,17.59259259259259,,,,
_scratch_current_joshbarua_experiments_Qwen3-8B-base-english-s1k-full-sft,30.555555555555557,,,,
_scratch_current_joshbarua_experiments_Qwen2.5-7B-base-swahili-s1k-full-sft,,,,,
_scratch_current_joshbarua_experiments_Qwen2.5-7B-base-swahili-bespoke-stratos-full-sft,,,,,
_scratch_current_joshbarua_experiments_Qwen3-8B-base-swahili-s1k-full-sft,,,,,
_scratch_current_joshbarua_experiments_Qwen2.5-7B-base-french-s1k-full-sft,,,11.11111111111111,,
_scratch_current_joshbarua_experiments_Qwen3-8B-base-french-s1k-full-sft,,,25.925925925925924,,
_scratch_current_joshbarua_experiments_Qwen2.5-7B-base-japanese-s1k-full-sft,,,,1.8518518518518516,
_scratch_current_joshbarua_experiments_Qwen3-8B-base-japanese-s1k-full-sft,,,,12.962962962962962,
_scratch_current_joshbarua_experiments_Qwen2.5-7B-base-latvian-s1k-full-sft,,,,,7.87037037037037
_scratch_current_joshbarua_experiments_Qwen3-8B-base-latvian-s1k-full-sft,,,,,17.59259259259259
Qwen_Qwen2.5-7B-Instruct,19.444444444444446,,12.962962962962962,6.944444444444445,7.87037037037037
Qwen_Qwen3-8B,,,,,
