model,Bulgarian
Qwen_Qwen2.5-7B-Instruct,63.63636363636363
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-instruct-bulgarian-s1k-full-sft_checkpoint-30,36.36363636363637
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-instruct-bulgarian-s1k-full-sft_checkpoint-60,34.34343434343434
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-instruct-bulgarian-s1k-full-sft_checkpoint-90,40.4040404040404
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-instruct-bulgarian-s1k-full-sft_checkpoint-120,50.505050505050505
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-instruct-bulgarian-s1k-full-sft_checkpoint-150,54.54545454545454
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-instruct-bulgarian-s1k-full-sft_checkpoint-180,55.55555555555556
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-instruct-bulgarian-s1k-full-sft_checkpoint-210,57.57575757575758
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-instruct-bulgarian-s1k-full-sft_checkpoint-240,61.61616161616161
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-instruct-bulgarian-s1k-full-sft_checkpoint-270,66.66666666666666
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-instruct-bulgarian-s1k-full-sft_checkpoint-300,58.58585858585859
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-instruct-bulgarian-s1k-full-sft_checkpoint-330,66.66666666666666
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-instruct-bulgarian-s1k-full-sft_checkpoint-360,67.67676767676768
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-instruct-bulgarian-s1k-full-sft_checkpoint-390,56.56565656565656
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-instruct-bulgarian-s1k-full-sft_checkpoint-420,70.70707070707071
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-instruct-bulgarian-s1k-full-sft_checkpoint-450,53.535353535353536
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-instruct-bulgarian-s1k-full-sft_checkpoint-480,57.57575757575758
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-instruct-bulgarian-s1k-full-sft_checkpoint-510,
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-instruct-bulgarian-s1k-full-sft_checkpoint-540,
_scratch_one_month_current_sanjayss_josh_experiments_Qwen2.5-7B-instruct-bulgarian-s1k-full-sft_checkpoint-560,
